EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
65.81	439.037062099808	26.0093101	25.6572982	24.9164359	24.5016625	24.1919466	25.05533066	0.185250045414682	
65.826	439.143802610271	23.9347596	22.6420027	23.6427809	23.0322176	21.8199597	23.0143441	0.170159729582835	
65.842	439.250543120735	23.0485902	24.2690344	23.7676222	23.075878	23.2607523	23.48437542	0.173634971021789	
65.858	439.357283631198	24.686537	23.8160582	23.0772425	23.7914991	23.7921812	23.8327036	0.176210383497476	
65.874	439.464024141661	22.2620212	23.2832649	22.9428502	21.4897781	22.8452967	22.56464222	0.166834796664426	
65.89	439.570764652125	21.5443536	19.765193	20.8519272	19.7344942	19.1866928	20.21653216	0.149473720845614	
65.906	439.677505162588	17.6694944	16.9136241	17.0125421	16.696004	17.5296447	17.16426186	0.12690633910295	
65.922	439.784245673052	16.6537081	15.4885218	14.9693725	15.232699	15.1003536	15.488931	0.114519549157484	
65.938	439.890986183515	13.293223	13.3198284	12.9418933	12.22831885	12.5796483	12.87258237	0.0951752144486261	
65.954	439.997726693978	11.25755757	10.28338511	9.85906072	10.61424895	9.48726531	10.300303532	0.0761567158295093	
65.97	440.104467204442	8.49194502	9.84541691	9.33104298	8.94082831	9.48044338	9.21793532	0.068154077063759	
65.986	440.211207714905	8.32958288	8.84668558	7.30151725	8.67954815	8.43327628	8.318122028	0.0615011832955737	
66.002	440.317948225369	9.1216095	9.1666343	8.71706875	7.99871902	8.11400975	8.623608264	0.0637598379451772	
66.018	440.424688735832	8.37870079	8.43395847	6.73802542	6.30005714	7.09344825	7.388838014	0.0546303936766816	
66.034	440.531429246295	7.59690704	7.8015651	6.01967562	6.61386619	7.13779079	7.033960948	0.0520065611084656	
66.05	440.638169756759	6.64729364	6.60431547	7.10231672	7.2121499	6.30892568	6.775000282	0.0500918996821966	
66.066	440.744910267222	6.39624644	7.32948718	5.89415201	6.88947237	5.00730042	6.303331684	0.0466045528023698	
66.082	440.851650777686	5.71814608	4.90770019	4.65665296	4.20981621	4.60344186	4.81915146	0.0356310614671102	
66.098	440.958391288149	3.146958716	3.433479964	3.35639211	2.430655503	2.7437823378	3.02225372616	0.0223454500610383	
66.114	441.065131798613	2.38426635	3.03507896	2.67146983	3.06577768	2.83519628	2.79835782	0.0206900447763451	
66.13	441.171872309076	2.780620798	2.79631124	2.074550501	2.8242811693	2.412918479	2.57773643746	0.0190588501339917	
66.146	441.278612819539	2.438841847	3.00779123	2.44293499	2.15777811	3.19334787	2.6481388094	0.0195793797879869	
66.162	441.385353330003	2.83451406	1.822821078	2.69466439	2.240323523	1.6011081894	2.23868624808	0.0165520357625184	
66.178	441.492093840466	2.90478	2.300356555	1.323455436	3.492148629	2.096380697	2.4234242634	0.0179179217766465	
66.194	441.59883435093	1.99132289	2.738324791	1.928561084	1.0935562174	2.82769214	2.11589142448	0.0156441352858784	
66.21	441.705574861393	0.676735973	1.12016175	1.232041506	1.510376451	1.352789753	1.1784210866	0.00871281895148891	
66.226	441.812315371856	2.29830996	1.671374118	3.03371458	1.5233381433	0.8970844789	1.88476425604	0.0139352646654466	
66.242	441.91905588232	3.040536518	2.170057584	2.597110732	2.535031121	1.755966112	2.4197404134	0.0178906847232202	
66.258	442.025796392783	3.53239806	3.53785561	2.845429172	3.63745584	4.02835273	3.5162982824	0.0259982366764809	
66.274	442.132536903247	4.1593339	3.92056615	3.69339571	2.61757654	3.306592	3.53949286	0.0261697289873222	
66.29	442.23927741371	3.86053314	3.25133431	2.3501566878	2.99210078	3.26838916	3.14450281556	0.0232493155765475	
66.306	442.346017924173	3.08351472	3.58219818	3.62517637	3.297041286	2.6585081424	3.24928773968	0.0240240573756248	
66.322	442.452758434637	3.12922168	3.31887147	2.618258738	2.365164922	3.080785926	2.9024605472	0.0214597426583363	
66.338	442.5594989451	2.593017563	2.614165561	2.410871907	2.553450337	2.62508064	2.5593172016	0.018922664971406	
66.354	442.666239455564	1.329595177	2.248509856	2.61416557	2.060906625	1.8446512676	2.01956569912	0.0149319377403864	
66.37	442.772979966027	1.721856445	0.632393394	1.491957244	1.4673982633	1.42032691	1.34678645126	0.00995765151318077	
66.386	442.87972047649	1.49536819	1.077865767	1.92242136	0.18419224868	1.860341742	1.308037861536	0.00967115846690917	
66.402	442.986460986954	0.6535413932	0.459798417	1.622256176	1.939476178	1.286616973	1.19233782744	0.00881571429570203	
66.418	443.093201497417	1.008282033	1.660459033	0.64330849	0.382028373	0.576453515	0.8541062888	0.00631495273146659	
