EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	ST5[arb.u.]	ST6[arb.u.]	AVG[arb.u.]	Norm[arb.u.]
64.558	430.6846172	15.0219013	15.5410505	15.9387694	15.4107517	14.7435664	13.6609253	12.9364356	14.75048574	0.372678072
64.574	430.7913577	23.1536481	23.2969086	22.9680916	22.648825	22.5676438	21.5034219	21.5313921	22.52427587	0.569086595
64.59	430.8980982	30.1979783	30.6570947	30.5240669	29.7299936	29.5089628	28.0558908	28.1807323	29.5506742	0.746611907
64.606	431.0048387	37.568397	36.7279348	37.0581164	35.5886715	36.4768875	34.5401401	34.508077	36.06688919	0.911247192
64.622	431.1115792	41.3518423	38.7404055	40.1198009	40.4035935	38.9225514	38.8945814	38.6251149	39.57969856	1
64.638	431.2183197	40.7303642	38.2042014	38.9348307	38.6537669	39.0910532	39.4321498	39.0821845	39.16122153	0.989426978
64.654	431.3250602	34.6854473	33.0311281	32.7869028	34.1465145	33.436351	33.0966186	34.5865294	33.68135596	0.850975555
64.67	431.4318007	22.9544475	22.3834516	22.2579281	24.4293499	22.4939668	23.3323827	23.9388528	23.11291134	0.583958751
64.686	431.5385412	5.84708065	4.7903629	5.11440481	5.664935	5.60694854	6.98361507	8.14402625	6.021624746	0.152139227
64.702	431.6452818	-12.8109122	-15.1740305	-14.9857451	-14.3629024	-12.61785122	-12.43843443	-10.42323481	-13.25901581	-0.334995371
64.718	431.7520223	-33.5311758	-33.9111577	-34.8403052	-32.7691658	-33.8538534	-31.4347952	-30.0929205	-32.91905337	-0.831715616
64.734	431.8587628	-52.9232088	-52.4511309	-52.666022	-51.3186897	-51.1140318	-50.6590087	-49.7762501	-51.55833457	-1.302645964
64.75	431.9655033	-66.3671966	-63.442633	-64.6828607	-65.6631729	-64.3110653	-64.9639246	-63.8355764	-64.75234707	-1.635998995
64.766	432.0722438	-73.1597975	-70.415333	-69.6185307	-71.6316839	-70.4221549	-70.9140164	-71.166428	-71.0468492	-1.7950326
64.782	432.1789843	-72.1910826	-68.677104	-67.4982735	-69.1921599	-69.1109789	-68.7234931	-69.5694129	-69.28035784	-1.750401351
64.798	432.2857248	-63.1540653	-58.9537995	-59.4620339	-61.8674481	-60.4723625	-60.647004	-61.4499457	-60.85809414	-1.537608834
64.814	432.3924653	-47.508639	-45.0950382	-46.0528379	-45.2116935	-46.0125886	-46.18723	-47.1040983	-46.1674465	-1.1664426
64.83	432.4992058	-32.3434769	-31.518705	-31.2533318	-31.3051784	-31.4136473	-32.3769046	-31.793629	-31.71498186	-0.801294174
64.846	432.6059463	-19.3961264	-18.9349636	-18.4008058	-19.4316001	-19.2562764	-19.0768595	-18.6245653	-19.01731387	-0.480481524
64.862	432.7126869	-11.75351209	-11.29234943	-11.16887243	-12.23991615	-11.8176382	-12.9848715	-11.41582632	-11.81042659	-0.298396072
64.878	432.8194274	-8.44282696	-8.3807474	-7.70878678	-9.16731644	-8.47147917	-7.88274612	-7.61873723	-8.238948586	-0.208160974
64.894	432.9261679	-7.56893712	-7.19645948	-7.86910224	-7.16780731	-6.70459793	-7.0218179	-6.65479779	-7.169074253	-0.181130087
64.91	433.0329084	-6.13633072	-6.47401651	-5.63560066	-6.77349945	-6.16293626	-6.12200464	-6.5367783	-6.263023791	-0.158238289
64.926	433.1396489	-4.65597077	-4.91383993	-4.66688587	-3.84074952	-4.47041414	-4.93635232	-3.707039584	-4.455893162	-0.11258027
64.942	433.2463894	-2.282619515	-2.620305297	-2.590970988	-3.2963591	-2.427926739	-2.8222346	-3.40482786	-2.777892014	-0.070184769
64.958	433.3531299	-0.457069664	-1.285252604	-1.442157088	-1.93947617	-2.359025212	-2.185065837	-2.354932024	-1.717568371	-0.043395186
64.974	433.4598704	-1.147449495	-0.916868091	-1.169279688	-0.962575066	-2.453167882	-0.785886939	-1.833736174	-1.324137619	-0.03345497
64.99	433.5666109	0.092778315	0.409998307	-0.442743591	-0.088685151	-0.771560866	-0.667867466	-0.759281389	-0.318194549	-0.008039337
65.006	433.6733514	1.680242638	1.924467909	-0.197836121	0.364291336	1.07991235	0.407951727	0.351329682	0.801479932	0.020249774
65.022	433.780092	3.02484607	2.177561726	2.57391615	1.670009739	2.17824392	1.661141221	1.802355269	2.155439156	0.0544582
65.038	433.8868325	3.19812323	2.67146982	3.29431253	2.39313487	2.82359897	2.768341298	2.749922099	2.842700402	0.071822184
65.054	433.993573	3.17356425	3.07669278	0.983040852	3.50920346	1.808495018	2.113435537	2.535713304	2.4571636	0.062081413
65.07	434.1003135	1.776431928	1.652272709	1.721174255	1.859659551	1.956531006	1.453072197	0.637168747	1.579472913	0.039906138
65.086	434.207054	0.404540762	1.348014401	1.119479559	1.084687688	0.401811966	0.56144526	1.306400589	0.889482889	0.02247321
65.102	434.3137945	1.24227441	1.796897738	0.904588592	0.407951725	0.210115603	-0.14394284	0.705388093	0.731896189	0.018491707
65.118	434.420535	0.875254284	0.740179966	0.523242439	0.843191194	0.727900488	0.774289647	0.960528472	0.77779807	0.01965144
65.134	434.5272755	0.666503074	0.57167816	0.653541389	0.368384505	0.944838028	0.429099729	0.70334152	0.619626629	0.015655163
65.15	434.634016	0.343825535	-0.22375948	0.094824897	-0.861610406	-0.466620362	0.1992005	-0.749730677	-0.237695713	-0.006005496
65.166	434.7407566	-0.193060766	-1.130394658	-0.547119196	-1.379395311	-0.370431083	-1.564951932	-1.277066275	-0.923202746	-0.023325159
65.182	434.8474971	-1.852837604	-2.271704424	-1.436017358	-1.790075816	-1.442839298	-1.287299154	-1.624984966	-1.672251231	-0.042250227
65.198	434.9542376	-2.68784247	-2.132536942	-1.996780431	-2.431337695	-2.102520429	-2.395863653	-2.127079376	-2.267708714	-0.057294744
65.214	435.0609781	-2.836560663	-3.48191573	-3.06373111	-3.233597265	-3.60812153	-3.0323502	-2.504332407	-3.108658415	-0.078541741
65.23	435.1677186	-3.520118575	-3.468954033	-3.49965277	-3.999700613	-4.12931739	-3.69476011	-3.82437687	-3.733840052	-0.094337253
