EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	ST5[arb.u.]	ST6[arb.u.]	ST7[arb.u.]	ST8[arb.u.]	ST9[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
65.874	439.464024141661	-3.15378063	-3.10534492	-2.37880879	-2.935478727	-3.197441029	-2.89932246	-3.77184797	-2.56300105	-3.13195045	-2.698075369	-2.9835051395	-0.210256582540328	
65.89	439.570764652125	-4.54545542	-3.355709928	-2.95116919	-4.09179674	-3.868037262	-4.06587338	-2.98868981	-4.19412576	-2.86316619	-3.9792348	-3.690325848	-0.26006836421631	
65.906	439.677505162588	-2.7833495711	-4.20504086	-3.42802245	-3.95740462	-3.81960151	-3.91442643	-4.01811985	-4.08156383	-3.966955325	-3.94103196	-3.81155164061	-0.26861151050839	
65.922	439.784245673052	-3.89532499	-3.89941815	-3.661332626	-3.83460978	-4.56728561	-4.087021385	-4.30873427	-3.90282913	-4.76443955	-4.48542239	-4.1406417881	-0.291803483212863	
65.938	439.890986183515	-4.61708575	-4.33875079	-4.90428922	-5.09462121	-4.61640354	-5.34157528	-4.53385813	-4.46904974	-4.98751683	-4.98615243	-4.788930292	-0.337490324346658	
65.954	439.997726693978	-5.96782891	-5.00320728	-5.04482107	-4.86608638	-4.43494008	-5.65674865	-5.01480458	-5.40638364	-5.33202454	-6.07493329	-5.280177842	-0.372110017028541	
65.97	440.104467204442	-5.72087485	-5.67243911	-5.5905759	-5.82388608	-6.0537853	-5.84230529	-5.40638364	-5.1491967	-5.37909591	-5.94668092	-5.65852237	-0.398773094100848	
65.986	440.211207714905	-5.07006224	-4.9909278	-5.50120855	-4.54204444	-5.55510185	-5.90574931	-6.09608131	-5.17239126	-6.22024054	-5.46914544	-5.452295274	-0.384239650247139	
66.002	440.317948225369	-5.98420156	-5.48688247	-5.23378868	-5.57488544	-5.92962609	-6.11313613	-5.45686598	-5.57556764	-5.37704931	-6.5156303	-5.72476336	-0.403441295940722	
66.018	440.424688735832	-5.62673215	-5.47801395	-5.26312301	-5.99102349	-4.66142831	-5.04482107	-5.73520091	-6.48356723	-5.06938005	-6.06674699	-5.542003716	-0.390561674027228	
66.034	440.531429246295	-6.54018927	-5.43503578	-5.43844674	-5.39819732	-7.00408087	-6.1697582	-6.46241921	-6.36077237	-6.36350116	-6.19977472	-6.137217564	-0.432508184493817	
